WO #,DI #,Site #,Site Name,Address,Latitude,Longitude,Category,Description,Geocode Status,Google Maps,Street View,Bing,FEMA Viewer,FIRMette Portal,MDOT NFC Map,FHWA Class,Urban/Rural,ACUB Name,Road Name,Eligibility,FIRMette Status,Map Status,AGOL Map
,,,Marsh Road,,44.599145,-85.444126,C,"$4,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.599145,-85.444126","https://www.google.com/maps?q&layer=c&cbll=44.599145,-85.444126",https://www.bing.com/maps?cp=44.599145~-85.444126&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.444126%2C44.599145&marker=-85.444126,44.599145,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.599145&longitude=-85.444126,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.444126,44.599145&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Hammond Road,,44.715476,-85.556195,C,"$6,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.715476,-85.556195","https://www.google.com/maps?q&layer=c&cbll=44.715476,-85.556195",https://www.bing.com/maps?cp=44.715476~-85.556195&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.556195%2C44.715476&marker=-85.556195,44.715476,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.715476&longitude=-85.556195,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.556195,44.715476&level=16",Minor Arterial | Major Collector,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Arterial,,,
,,,Mayfield Road,,44.627512,-85.50486,C,"$10,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.627512,-85.50486","https://www.google.com/maps?q&layer=c&cbll=44.627512,-85.50486",https://www.bing.com/maps?cp=44.627512~-85.50486&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.50486%2C44.627512&marker=-85.50486,44.627512,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.627512&longitude=-85.50486,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.50486,44.627512&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Mayfield Trail,,44.604368,-85.572138,C,"$12,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.604368,-85.572138","https://www.google.com/maps?q&layer=c&cbll=44.604368,-85.572138",https://www.bing.com/maps?cp=44.604368~-85.572138&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.572138%2C44.604368&marker=-85.572138,44.604368,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.604368&longitude=-85.572138,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.572138,44.604368&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Mill Road,,44.615451,-85.604458,C,"$15,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.615451,-85.604458","https://www.google.com/maps?q&layer=c&cbll=44.615451,-85.604458",https://www.bing.com/maps?cp=44.615451~-85.604458&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.604458%2C44.615451&marker=-85.604458,44.615451,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.615451&longitude=-85.604458,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.604458,44.615451&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Fouch Road,,44.615865,-85.64572,C,"$14,000.00 - Culvert - Work Complete",,"https://www.google.com/maps?q=44.615865,-85.64572","https://www.google.com/maps?q&layer=c&cbll=44.615865,-85.64572",https://www.bing.com/maps?cp=44.615865~-85.64572&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.64572%2C44.615865&marker=-85.64572,44.615865,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.615865&longitude=-85.64572,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.64572,44.615865&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Maplewood Lane,,44.742983,-85.508646,C,"$8,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.742983,-85.508646","https://www.google.com/maps?q&layer=c&cbll=44.742983,-85.508646",https://www.bing.com/maps?cp=44.742983~-85.508646&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.508646%2C44.742983&marker=-85.508646,44.742983,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.742983&longitude=-85.508646,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.508646,44.742983&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Basswood Drive,,44.746133,-85.508543,C,"$2,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.746133,-85.508543","https://www.google.com/maps?q&layer=c&cbll=44.746133,-85.508543",https://www.bing.com/maps?cp=44.746133~-85.508543&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.508543%2C44.746133&marker=-85.508543,44.746133,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.746133&longitude=-85.508543,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.508543,44.746133&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Holiday Pines Road,,44.74982,-85.517396,C,"$8,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.74982,-85.517396","https://www.google.com/maps?q&layer=c&cbll=44.74982,-85.517396",https://www.bing.com/maps?cp=44.74982~-85.517396&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.517396%2C44.74982&marker=-85.517396,44.74982,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.74982&longitude=-85.517396,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.517396,44.74982&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,E Arbutus Lake Road,,44.656869,-85.510015,C,"$10,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.656869,-85.510015","https://www.google.com/maps?q&layer=c&cbll=44.656869,-85.510015",https://www.bing.com/maps?cp=44.656869~-85.510015&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.510015%2C44.656869&marker=-85.510015,44.656869,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.656869&longitude=-85.510015,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.510015,44.656869&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
