WO #,DI #,Site #,Site Name,Address,Latitude,Longitude,Category,Description,Geocode Status,Google Maps,Street View,Bing,FEMA Viewer,FIRMette Portal,MDOT NFC Map,FHWA Class,Urban/Rural,ACUB Name,Road Name,Eligibility,FIRMette Status,Map Status,AGOL Map
,,,Pyatt Road,,44.899427,-85.525223,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.899427,-85.525223","https://www.google.com/maps?q&layer=c&cbll=44.899427,-85.525223",https://www.bing.com/maps?cp=44.899427~-85.525223&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.525223%2C44.899427&marker=-85.525223,44.899427,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.899427&longitude=-85.525223,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.525223,44.899427&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Brunson Place,,44.728594,-85.664511,C,"$10,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.728594,-85.664511","https://www.google.com/maps?q&layer=c&cbll=44.728594,-85.664511",https://www.bing.com/maps?cp=44.728594~-85.664511&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.664511%2C44.728594&marker=-85.664511,44.728594,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.728594&longitude=-85.664511,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.664511,44.728594&level=16",Minor Arterial | Local,Urban,"Traverse City--Garfield, MI",,INELIGIBLE - Urban Minor Arterial,,,
,,,Hodge Road,,44.586334,-85.434233,C,"$12,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.586334,-85.434233","https://www.google.com/maps?q&layer=c&cbll=44.586334,-85.434233",https://www.bing.com/maps?cp=44.586334~-85.434233&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.434233%2C44.586334&marker=-85.434233,44.586334,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.586334&longitude=-85.434233,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.434233,44.586334&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Vans Lane,,44.584461,-85.398198,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.584461,-85.398198","https://www.google.com/maps?q&layer=c&cbll=44.584461,-85.398198",https://www.bing.com/maps?cp=44.584461~-85.398198&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.398198%2C44.584461&marker=-85.398198,44.584461,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.584461&longitude=-85.398198,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.398198,44.584461&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,E Sparling Road,,44.569757,-85.44794,C,"$2,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.569757,-85.44794","https://www.google.com/maps?q&layer=c&cbll=44.569757,-85.44794",https://www.bing.com/maps?cp=44.569757~-85.44794&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.44794%2C44.569757&marker=-85.44794,44.569757,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.569757&longitude=-85.44794,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.44794,44.569757&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Woodland Road,,44.965333,-85.486949,C,"$10,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.965333,-85.486949","https://www.google.com/maps?q&layer=c&cbll=44.965333,-85.486949",https://www.bing.com/maps?cp=44.965333~-85.486949&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.486949%2C44.965333&marker=-85.486949,44.965333,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.965333&longitude=-85.486949,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.486949,44.965333&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Schichtel Road,,44.554394,-85.615207,C,"$5,000.00 - Debris - Work Complete",,"https://www.google.com/maps?q=44.554394,-85.615207","https://www.google.com/maps?q&layer=c&cbll=44.554394,-85.615207",https://www.bing.com/maps?cp=44.554394~-85.615207&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.615207%2C44.554394&marker=-85.615207,44.554394,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.554394&longitude=-85.615207,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.615207,44.554394&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Ramsey Road,,44.526366,-85.353438,C,"$20,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.526366,-85.353438","https://www.google.com/maps?q&layer=c&cbll=44.526366,-85.353438",https://www.bing.com/maps?cp=44.526366~-85.353438&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.353438%2C44.526366&marker=-85.353438,44.526366,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.526366&longitude=-85.353438,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.353438,44.526366&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Grand Kal Road,,44.512898,-85.334055,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.512898,-85.334055","https://www.google.com/maps?q&layer=c&cbll=44.512898,-85.334055",https://www.bing.com/maps?cp=44.512898~-85.334055&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.334055%2C44.512898&marker=-85.334055,44.512898,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.512898&longitude=-85.334055,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.334055,44.512898&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Grand Kal Road,,44.521817,-85.331048,C,"$5,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.521817,-85.331048","https://www.google.com/maps?q&layer=c&cbll=44.521817,-85.331048",https://www.bing.com/maps?cp=44.521817~-85.331048&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.331048%2C44.521817&marker=-85.331048,44.521817,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.521817&longitude=-85.331048,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.331048,44.521817&level=16",No road segment within 150 ft,Rural,,,No road segment within 150 ft - manual review,,,
,,,Warbler Drive,,44.65175,-85.6473,C,"$4,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.65175,-85.6473","https://www.google.com/maps?q&layer=c&cbll=44.65175,-85.6473",https://www.bing.com/maps?cp=44.65175~-85.6473&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.6473%2C44.65175&marker=-85.6473,44.65175,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.65175&longitude=-85.6473,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.6473,44.65175&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Hoosier Valley Road,,44.657621,-85.644199,C,"$8,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.657621,-85.644199","https://www.google.com/maps?q&layer=c&cbll=44.657621,-85.644199",https://www.bing.com/maps?cp=44.657621~-85.644199&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.644199%2C44.657621&marker=-85.644199,44.657621,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.657621&longitude=-85.644199,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.644199,44.657621&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Eimen Road,,44.935439,-85.520097,C,"$8,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.935439,-85.520097","https://www.google.com/maps?q&layer=c&cbll=44.935439,-85.520097",https://www.bing.com/maps?cp=44.935439~-85.520097&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.520097%2C44.935439&marker=-85.520097,44.935439,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.935439&longitude=-85.520097,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.520097,44.935439&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Old Mission Road,,44.950178,-85.520377,C,"$6,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.950178,-85.520377","https://www.google.com/maps?q&layer=c&cbll=44.950178,-85.520377",https://www.bing.com/maps?cp=44.950178~-85.520377&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.520377%2C44.950178&marker=-85.520377,44.950178,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.950178&longitude=-85.520377,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.520377,44.950178&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Silver Lake Shore Road,,44.68659,-85.675674,C,"$7,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.68659,-85.675674","https://www.google.com/maps?q&layer=c&cbll=44.68659,-85.675674",https://www.bing.com/maps?cp=44.68659~-85.675674&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.675674%2C44.68659&marker=-85.675674,44.68659,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.68659&longitude=-85.675674,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.675674,44.68659&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,E Blair Townhall Road,,44.627594,-85.546443,C,"$6,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.627594,-85.546443","https://www.google.com/maps?q&layer=c&cbll=44.627594,-85.546443",https://www.bing.com/maps?cp=44.627594~-85.546443&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.546443%2C44.627594&marker=-85.546443,44.627594,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.627594&longitude=-85.546443,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.546443,44.627594&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Supply Road,,44.706894,-85.502135,C,"$5,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.706894,-85.502135","https://www.google.com/maps?q&layer=c&cbll=44.706894,-85.502135",https://www.bing.com/maps?cp=44.706894~-85.502135&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.502135%2C44.706894&marker=-85.502135,44.706894,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.706894&longitude=-85.502135,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.502135,44.706894&level=16",No road segment within 150 ft,Urban,"Traverse City--Garfield, MI",,No road segment within 150 ft - manual review,,,
,,,Phelps Road,,44.928241,-85.52414,C,"$6,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.928241,-85.52414","https://www.google.com/maps?q&layer=c&cbll=44.928241,-85.52414",https://www.bing.com/maps?cp=44.928241~-85.52414&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.52414%2C44.928241&marker=-85.52414,44.928241,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.928241&longitude=-85.52414,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.52414,44.928241&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Mason Road,,44.635155,-85.716743,C,"$7,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.635155,-85.716743","https://www.google.com/maps?q&layer=c&cbll=44.635155,-85.716743",https://www.bing.com/maps?cp=44.635155~-85.716743&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.716743%2C44.635155&marker=-85.716743,44.635155,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.635155&longitude=-85.716743,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.716743,44.635155&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Mobile Trail W,,44.652962,-85.676501,C,"$5,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.652962,-85.676501","https://www.google.com/maps?q&layer=c&cbll=44.652962,-85.676501",https://www.bing.com/maps?cp=44.652962~-85.676501&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.676501%2C44.652962&marker=-85.676501,44.652962,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.652962&longitude=-85.676501,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.676501,44.652962&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,E Sparling Road,,44.570121,-85.463841,C,"$20,000.00 - Culvert - Work Complete",,"https://www.google.com/maps?q=44.570121,-85.463841","https://www.google.com/maps?q&layer=c&cbll=44.570121,-85.463841",https://www.bing.com/maps?cp=44.570121~-85.463841&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.463841%2C44.570121&marker=-85.463841,44.570121,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.570121&longitude=-85.463841,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.463841,44.570121&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Mill Road,,44.614571,-85.613181,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.614571,-85.613181","https://www.google.com/maps?q&layer=c&cbll=44.614571,-85.613181",https://www.bing.com/maps?cp=44.614571~-85.613181&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.613181%2C44.614571&marker=-85.613181,44.614571,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.614571&longitude=-85.613181,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.613181,44.614571&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Cedar Lake Road,,44.753823,-85.796647,C,"$8,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.753823,-85.796647","https://www.google.com/maps?q&layer=c&cbll=44.753823,-85.796647",https://www.bing.com/maps?cp=44.753823~-85.796647&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.796647%2C44.753823&marker=-85.796647,44.753823,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.753823&longitude=-85.796647,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.796647,44.753823&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Fisher Road,,44.686791,-85.757561,C,"$60,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.686791,-85.757561","https://www.google.com/maps?q&layer=c&cbll=44.686791,-85.757561",https://www.bing.com/maps?cp=44.686791~-85.757561&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.757561%2C44.686791&marker=-85.757561,44.686791,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.686791&longitude=-85.757561,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.757561,44.686791&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Lakeshore Drive,,44.558833,-85.345519,C,"$100,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.558833,-85.345519","https://www.google.com/maps?q&layer=c&cbll=44.558833,-85.345519",https://www.bing.com/maps?cp=44.558833~-85.345519&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.345519%2C44.558833&marker=-85.345519,44.558833,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.558833&longitude=-85.345519,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.345519,44.558833&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Gleaner Hall Road,,44.555709,-85.44504,C,"$8,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.555709,-85.44504","https://www.google.com/maps?q&layer=c&cbll=44.555709,-85.44504",https://www.bing.com/maps?cp=44.555709~-85.44504&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.44504%2C44.555709&marker=-85.44504,44.555709,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.555709&longitude=-85.44504,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.44504,44.555709&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Jackson Road,,44.526674,-85.506537,C,"$6,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.526674,-85.506537","https://www.google.com/maps?q&layer=c&cbll=44.526674,-85.506537",https://www.bing.com/maps?cp=44.526674~-85.506537&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.506537%2C44.526674&marker=-85.506537,44.526674,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.526674&longitude=-85.506537,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.506537,44.526674&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Watson Road,,44.772777,-85.343585,C,"$4,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.772777,-85.343585","https://www.google.com/maps?q&layer=c&cbll=44.772777,-85.343585",https://www.bing.com/maps?cp=44.772777~-85.343585&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.343585%2C44.772777&marker=-85.343585,44.772777,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.772777&longitude=-85.343585,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.343585,44.772777&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Cedar Valley Road,,44.765382,-85.812211,C,"$6,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.765382,-85.812211","https://www.google.com/maps?q&layer=c&cbll=44.765382,-85.812211",https://www.bing.com/maps?cp=44.765382~-85.812211&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.812211%2C44.765382&marker=-85.812211,44.765382,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.765382&longitude=-85.812211,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.812211,44.765382&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Dell Road,,44.519458,-85.496599,C,"$6,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.519458,-85.496599","https://www.google.com/maps?q&layer=c&cbll=44.519458,-85.496599",https://www.bing.com/maps?cp=44.519458~-85.496599&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.496599%2C44.519458&marker=-85.496599,44.519458,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.519458&longitude=-85.496599,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.496599,44.519458&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Hoosier Valley Road,,44.665282,-85.641302,C,"$8,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.665282,-85.641302","https://www.google.com/maps?q&layer=c&cbll=44.665282,-85.641302",https://www.bing.com/maps?cp=44.665282~-85.641302&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.641302%2C44.665282&marker=-85.641302,44.665282,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.665282&longitude=-85.641302,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.641302,44.665282&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Heniser Road,,44.723735,-85.797396,C,"$8,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.723735,-85.797396","https://www.google.com/maps?q&layer=c&cbll=44.723735,-85.797396",https://www.bing.com/maps?cp=44.723735~-85.797396&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.797396%2C44.723735&marker=-85.797396,44.723735,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.723735&longitude=-85.797396,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.797396,44.723735&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Skiver Road,,44.747062,-85.780797,C,"$10,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.747062,-85.780797","https://www.google.com/maps?q&layer=c&cbll=44.747062,-85.780797",https://www.bing.com/maps?cp=44.747062~-85.780797&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.780797%2C44.747062&marker=-85.780797,44.747062,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.747062&longitude=-85.780797,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.780797,44.747062&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Crisp Road,,44.765258,-85.431929,C,"$12,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.765258,-85.431929","https://www.google.com/maps?q&layer=c&cbll=44.765258,-85.431929",https://www.bing.com/maps?cp=44.765258~-85.431929&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.431929%2C44.765258&marker=-85.431929,44.765258,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.765258&longitude=-85.431929,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.431929,44.765258&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
